date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:41	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Mar%202021%2008:29:40%20GMT	https://demo.bootstrapious.com/robots.txt		(from )
13:59:41	33079/33079	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f7977-8137%22	https://demo.bootstrapious.com/photo/1-5-0/	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/index.html	(from )
13:59:42	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225e6f798c-26f1b%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/bootstrap/css/bootstrap.min.css	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:42	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225e6f79a1-7918%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/font-awesome/css/font-awesome.min.css	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:42	3956/3956	---MCZ	200	added ('OK')	text/css	etag:W/%225e6f78a9-f74%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/css/custom-icons.css	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/css/custom-icons.css	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:42	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225e6f7a1d-d17%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/owl.carousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:43	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%225e6f7a1e-3f5%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/owl.carousel/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/owl.carousel/assets/owl.theme.default.min.css	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:43	57853/57853	---MCZ	200	added ('OK')	text/css	etag:W/%225e6f7bf9-e1fd%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/css/style.default.css	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/css/style.default.css	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:43	25/25	---M--	200	added ('OK')	text/css	etag:%225e6f78a9-19%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/css/custom.css	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/css/custom.css	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:43	1475/1475	---M--	200	added ('OK')	image/png	etag:%225e6f78bd-5c3%22	https://demo.bootstrapious.com/photo/1-5-0/favicon.png	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/favicon.png	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:44	33079/33079	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f7977-8137%22	https://demo.bootstrapious.com/photo/1-5-0/index.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/index-2.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:44	3314/3314	---M--	200	added ('OK')	image/png	etag:%225e6f796b-cf2%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/logo.png	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/logo.png	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:44	31257/31257	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f7978-7a19%22	https://demo.bootstrapious.com/photo/1-5-0/index2.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/index2.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:45	37107/37107	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78a7-90f3%22	https://demo.bootstrapious.com/photo/1-5-0/category.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/category.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:45	42284/42284	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78a3-a52c%22	https://demo.bootstrapious.com/photo/1-5-0/category-left.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/category-left.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:45	42262/42262	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78a4-a516%22	https://demo.bootstrapious.com/photo/1-5-0/category-right.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/category-right.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:45	25659/25659	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78a2-643b%22	https://demo.bootstrapious.com/photo/1-5-0/category-collections.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/category-collections.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:46	27341/27341	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78a5-6acd%22	https://demo.bootstrapious.com/photo/1-5-0/category-search.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/category-search.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:46	197089/197089	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7942-301e1%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/hero-bg-1.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/hero-bg-1.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:46	33771/33771	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78bc-83eb%22	https://demo.bootstrapious.com/photo/1-5-0/detail.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/detail.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:46	31638/31638	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78a1-7b96%22	https://demo.bootstrapious.com/photo/1-5-0/cart.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/cart.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:47	23033/23033	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78a0-59f9%22	https://demo.bootstrapious.com/photo/1-5-0/cart-2.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/cart-2.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:47	27152/27152	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f789e-6a10%22	https://demo.bootstrapious.com/photo/1-5-0/cart-2-address.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/cart-2-address.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:47	20997/20997	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f789f-5205%22	https://demo.bootstrapious.com/photo/1-5-0/cart-2-payment.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/cart-2-payment.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:47	23228/23228	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f789d-5abc%22	https://demo.bootstrapious.com/photo/1-5-0/blog.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/blog.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:48	25670/25670	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f789c-6446%22	https://demo.bootstrapious.com/photo/1-5-0/blog-2.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/blog-2.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:48	30137/30137	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f797b-75b9%22	https://demo.bootstrapious.com/photo/1-5-0/post.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/post.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:48	23335/23335	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f797b-5b27%22	https://demo.bootstrapious.com/photo/1-5-0/text.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/text.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:48	19498/19498	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f789b-4c2a%22	https://demo.bootstrapious.com/photo/1-5-0/404.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/404.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:49	25219/25219	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78a8-6283%22	https://demo.bootstrapious.com/photo/1-5-0/contact.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/contact.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:49	22584/22584	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78b6-5838%22	https://demo.bootstrapious.com/photo/1-5-0/customers-account.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/customers-account.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:49	20790/20790	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78b8-5136%22	https://demo.bootstrapious.com/photo/1-5-0/customers-addresses.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/customers-addresses.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:50	20742/20742	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78b7-5106%22	https://demo.bootstrapious.com/photo/1-5-0/customers-activate-account.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/customers-activate-account.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:50	20754/20754	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f78b9-5112%22	https://demo.bootstrapious.com/photo/1-5-0/customers-login.html	C:/My%20Web%20Sites/hopeless/demo.bootstrapious.com/photo/1-5-0/customers-login.html	(from https://demo.bootstrapious.com/photo/1-5-0/)
